id;gender;age;height;education
991;M;56;1.92;Master's
992;F;33;1.63;High School
993;M;44;1.76;None
994;M;40;1.9;High School
995;F;42;1.73;High School
996;F;73;1.58;High School
997;M;44;1.9;None
998;F;48;1.79;PhD
999;F;37;1.81;Elementary
1000;M;26;1.93;PhD
1001;F;73;1.61;PhD
1002;M;36;1.9;High School
1003;M;71;1.88;Bachelor's
1004;M;57;1.9;PhD
1005;M;73;1.82;PhD
1006;F;57;1.75;None
1007;M;51;1.61;Bachelor's
1008;F;61;2.01;Master's
1009;M;65;1.97;Elementary
1010;F;66;1.79;High School
1011;F;19;1.57;High School
1012;F;68;1.65;High School
1013;M;68;1.5;Master's
1014;F;54;2;PhD
1015;M;62;1.77;Elementary
1016;F;53;1.91;PhD
1017;F;51;1.75;Elementary
1018;M;60;1.76;PhD
1019;F;30;1.94;Elementary
1020;F;43;1.91;PhD
1021;F;71;1.81;High School
1022;F;55;1.65;Master's
1023;M;31;1.67;PhD
1024;M;56;1.77;Bachelor's
1025;F;51;1.95;Bachelor's
1026;F;66;1.48;PhD
1027;M;26;1.6;High School
1028;F;58;1.68;Master's
1029;M;39;1.94;Elementary
1030;F;28;1.89;None
1031;M;56;1.75;PhD
1032;M;48;1.64;None
1033;F;69;1.52;Bachelor's
1034;F;63;1.47;None
1035;F;19;1.53;High School
1036;M;71;1.91;PhD
1037;F;57;1.69;Bachelor's
1038;M;58;1.84;PhD
1039;F;73;1.54;Master's
1040;M;44;1.88;None
1041;F;38;1.79;Bachelor's
1042;M;56;1.97;Master's
1043;M;25;1.49;PhD
1044;F;33;1.96;Master's
1045;F;21;1.95;Bachelor's
1046;M;26;1.94;High School
1047;F;30;1.47;None
1048;F;46;1.5;Bachelor's
1049;F;47;1.55;Bachelor's
1050;M;38;1.49;PhD
1051;M;45;1.61;Master's
1052;F;38;1.73;Master's
1053;M;26;1.64;PhD
1054;M;64;1.86;Master's
1055;M;67;1.85;PhD
1056;M;54;1.54;Master's
1057;M;73;1.86;Bachelor's
1058;F;71;1.74;High School
1059;M;69;1.97;High School
1060;F;40;1.8;Bachelor's
1061;F;28;1.9;None
1062;F;54;1.48;Master's
1063;M;41;1.48;None
1064;F;37;1.51;None
1065;F;39;1.62;High School
1066;F;58;1.74;High School
1067;F;30;1.57;Elementary
1068;M;36;1.84;Master's
1069;F;70;2.01;None
1070;M;74;1.65;None
1071;M;25;1.59;Bachelor's
1072;F;70;1.8;Bachelor's
1073;F;57;1.77;Master's
1074;M;68;1.88;PhD
1075;F;45;1.62;PhD
1076;M;51;1.69;Elementary
1077;M;47;1.46;High School
1078;F;60;1.61;PhD
1079;F;54;1.6;PhD
1080;F;54;1.58;None
1081;M;60;1.77;Bachelor's
1082;F;36;1.87;High School
1083;M;71;1.61;PhD
1084;M;18;1.9;PhD
1085;F;52;1.62;None
1086;M;39;1.87;Elementary
1087;M;37;1.58;Master's
1088;F;32;1.78;None
1089;M;42;1.69;High School
1090;F;49;1.73;Bachelor's
1091;M;24;1.83;High School
1092;M;19;1.82;Elementary
1093;F;25;1.63;High School
1094;F;62;1.5;None
1095;F;75;1.76;Elementary
1096;M;43;1.51;PhD
1097;M;55;1.46;Master's
1098;M;32;1.61;PhD
1099;F;74;1.6;PhD
1100;M;66;1.7;None
1101;M;71;1.83;Master's
1102;M;48;1.77;None
1103;M;40;1.68;Bachelor's
1104;F;50;1.64;High School
1105;M;58;1.91;High School
1106;F;26;1.53;Bachelor's
1107;M;39;1.83;Elementary
1108;F;35;1.99;None
1109;F;67;1.54;High School
1110;M;18;1.77;PhD
1111;F;28;1.69;PhD
1112;M;64;1.84;Bachelor's
1113;F;25;1.57;Elementary
1114;M;26;1.98;Bachelor's
1115;F;27;1.57;Master's
1116;F;72;1.64;High School
1117;F;67;1.69;High School
1118;M;50;1.97;Elementary
1119;F;40;1.58;High School
1120;F;28;1.67;Master's
1121;F;27;1.47;PhD
1122;F;52;1.84;Elementary
1123;M;36;1.53;Bachelor's
1124;F;41;1.98;Elementary
1125;F;55;1.81;PhD
1126;M;51;1.64;Bachelor's
1127;F;61;1.67;Bachelor's
1128;M;42;1.85;Elementary
1129;M;29;1.86;None
1130;M;33;1.76;Bachelor's
1131;F;55;1.73;Elementary
1132;F;71;1.87;Master's
1133;F;30;1.57;Bachelor's
1134;F;61;1.99;High School
1135;F;74;1.52;None
1136;M;44;1.88;Master's
1137;M;54;1.8;Bachelor's
1138;M;45;1.51;None
1139;F;54;1.99;None
1140;M;71;1.83;Bachelor's
1141;M;64;1.48;Master's
1142;F;66;1.97;Master's
1143;M;66;2.01;PhD
1144;M;30;1.8;None
1145;F;35;1.48;Master's
1146;F;56;1.56;Elementary
1147;M;57;2;None
1148;F;63;1.89;Bachelor's
1149;F;36;1.66;Bachelor's
1150;F;32;1.7;Bachelor's
1151;F;25;1.74;High School
1152;M;44;1.95;PhD
1153;F;64;1.54;None
1154;M;38;1.83;Elementary
1155;F;34;1.84;High School
1156;M;72;1.63;Elementary
1157;M;27;1.5;PhD
1158;M;52;1.72;None
1159;F;71;1.55;High School
1160;F;32;1.78;High School
1161;F;45;1.85;Elementary
1162;M;54;1.84;None
1163;F;33;1.83;Elementary
1164;F;71;1.87;Master's
1165;M;58;1.8;PhD
1166;M;24;1.64;None
1167;M;18;1.68;Bachelor's
1168;M;26;1.57;None
1169;F;56;1.76;Master's
1170;F;69;1.7;High School
1171;F;64;1.67;Master's
1172;F;55;2;Master's
1173;M;51;1.8;High School
1174;M;32;1.8;PhD
1175;F;44;1.5;None
1176;M;33;1.48;Bachelor's
1177;M;58;1.97;Master's
1178;F;63;1.96;Bachelor's
1179;M;27;1.99;High School
1180;M;23;1.87;PhD
1181;M;35;1.9;Elementary
1182;M;54;1.98;Bachelor's
1183;F;24;1.78;Master's
1184;F;43;1.49;Elementary
1185;F;65;1.52;None
1186;M;42;1.88;High School
1187;M;35;1.9;Master's
1188;M;50;1.51;Elementary
1189;M;23;1.86;High School
1190;F;65;1.87;None
1191;F;66;1.54;High School
1192;M;42;1.8;PhD
1193;M;31;1.47;Master's
1194;M;59;2;PhD
1195;M;51;1.9;PhD
1196;F;59;1.84;Master's
1197;F;32;1.98;PhD
1198;F;72;1.9;Bachelor's
1199;M;71;1.56;Elementary
1200;F;23;1.82;Elementary
1201;M;62;1.72;Elementary
1202;M;27;1.79;Bachelor's
1203;F;21;1.54;Master's
1204;F;73;1.69;None
1205;F;66;1.68;High School
1206;F;27;1.54;None
1207;F;64;1.56;None
1208;F;47;1.57;Master's
1209;M;24;1.51;Master's
1210;M;76;2;Elementary
1211;F;32;1.64;None
1212;M;72;1.89;Bachelor's
1213;F;76;1.78;High School
1214;F;20;1.81;None
1215;M;66;1.65;None
1216;F;65;1.74;None
1217;M;25;1.64;None
1218;M;75;1.87;Bachelor's
1219;F;38;1.55;None
1220;F;40;1.53;PhD
1221;F;32;1.68;Bachelor's
1222;M;56;1.75;High School
1223;M;66;1.87;PhD
1224;M;59;1.51;Master's
1225;M;68;1.97;High School
1226;F;60;1.49;Bachelor's
1227;M;75;1.71;High School
1228;F;38;1.88;PhD
1229;M;58;1.94;Master's
1230;M;29;1.89;Elementary
1231;F;61;1.8;Elementary
1232;M;37;1.6;None
1233;M;29;1.64;High School
1234;M;66;1.48;Bachelor's
1235;F;47;1.54;Bachelor's
1236;F;25;1.59;Master's
1237;F;38;2;None
1238;M;50;1.48;High School
1239;M;19;1.7;Elementary
1240;F;31;1.67;Master's
1241;F;40;1.86;Elementary
1242;M;54;1.59;PhD
1243;F;29;1.55;None
1244;M;65;1.91;Elementary
1245;F;69;1.9;High School
1246;M;39;1.68;Bachelor's
1247;F;21;1.78;PhD
1248;F;22;1.58;None
1249;F;51;1.78;Elementary
1250;F;41;1.99;Master's
1251;M;52;1.54;PhD
1252;F;52;1.69;Master's
1253;M;41;1.59;Master's
1254;F;34;1.52;Master's
1255;M;52;1.77;PhD
1256;F;55;1.66;Elementary
1257;M;44;1.47;Elementary
1258;F;63;1.57;Master's
1259;F;68;1.64;PhD
1260;F;70;1.48;PhD
1261;M;35;1.46;Bachelor's
1262;F;48;1.84;PhD
1263;F;29;1.84;High School
1264;M;71;1.93;None
1265;F;57;1.82;High School
1266;M;32;1.81;PhD
1267;M;71;1.72;Master's
1268;F;55;1.95;High School
1269;F;54;1.69;Bachelor's
1270;M;50;1.73;PhD
1271;F;51;1.54;PhD
1272;M;76;1.48;Bachelor's
1273;M;45;1.75;None
1274;F;55;1.48;None
1275;F;70;1.68;Elementary
1276;M;34;1.85;PhD
1277;F;51;1.79;Bachelor's
1278;M;53;2.01;None
1279;M;20;1.74;None
1280;M;30;1.56;High School
1281;F;63;1.94;None
1282;M;26;1.48;High School
1283;M;76;1.69;High School
1284;F;23;1.89;High School
1285;F;71;1.86;High School
1286;F;36;1.58;Elementary
1287;F;49;1.46;Elementary
1288;M;56;1.92;Master's
1289;F;40;1.61;None
1290;F;41;1.91;Elementary
1291;M;18;1.75;Master's
1292;F;37;1.93;None
1293;M;38;1.72;None
1294;M;37;1.72;Elementary
1295;F;18;1.56;High School
1296;F;43;1.74;Master's
1297;M;61;1.64;High School
1298;F;46;1.83;High School
1299;M;73;2.01;Elementary
1300;M;64;1.73;Elementary
1301;M;34;1.52;PhD
1302;F;57;1.66;None
1303;M;45;1.75;None
1304;F;32;1.62;PhD
1305;M;24;1.57;Elementary
1306;M;26;1.98;Master's
1307;M;51;1.54;Master's
1308;M;60;1.94;High School
1309;M;36;1.7;PhD
1310;M;65;1.6;PhD
1311;M;67;1.89;High School
1312;M;48;1.84;Master's
1313;M;27;1.57;Elementary
1314;M;36;1.97;Elementary
1315;F;24;1.57;PhD
1316;F;22;1.99;Master's
1317;M;33;1.53;Bachelor's
1318;F;63;1.52;Bachelor's
1319;F;74;1.78;Bachelor's
1320;M;68;1.6;Elementary
1321;M;42;1.73;PhD
1322;F;58;1.88;Master's
1323;F;58;1.53;None
1324;M;42;1.99;Elementary
1325;F;37;1.54;Master's
1326;M;60;1.7;PhD
1327;F;71;1.48;High School
1328;F;38;1.79;Master's
1329;M;54;1.89;Master's
1330;F;19;1.58;Elementary
1331;M;56;1.52;Elementary
1332;F;26;1.71;Elementary
1333;M;36;1.47;Elementary
1334;M;21;1.66;Master's
1335;F;55;1.93;PhD
1336;M;30;1.58;Bachelor's
1337;M;20;1.65;High School
1338;F;28;1.51;PhD
1339;F;48;1.84;Elementary
1340;F;65;1.72;Master's
1341;M;51;1.91;Elementary
1342;M;67;1.65;Master's
1343;M;27;1.63;Master's
1344;M;32;1.74;None
1345;F;36;1.54;Master's
1346;M;34;1.65;Master's
1347;M;30;2;Elementary
1348;M;39;1.97;Elementary
1349;F;24;1.97;Bachelor's
1350;M;68;1.86;Master's
1351;F;61;1.67;None
1352;F;33;1.97;PhD
1353;F;63;1.71;High School
1354;F;34;1.51;None
1355;F;28;1.8;Bachelor's
1356;M;33;1.97;Bachelor's
1357;M;50;1.5;PhD
1358;F;59;1.69;Elementary
1359;F;57;1.67;Bachelor's
1360;M;33;1.53;Master's
1361;F;68;1.92;High School
1362;F;43;1.61;None
1363;F;62;1.58;Bachelor's
1364;F;42;1.49;Bachelor's
1365;M;30;1.95;High School
1366;F;47;1.58;None
1367;F;26;1.84;Elementary
1368;M;31;1.87;Bachelor's
1369;F;63;1.57;High School
1370;M;21;1.87;Elementary
1371;F;45;1.77;PhD
1372;F;29;1.56;None
1373;F;41;1.62;High School
1374;F;32;1.93;PhD
1375;F;45;1.97;Bachelor's
1376;M;29;1.88;PhD
1377;M;48;1.52;Bachelor's
1378;M;74;1.72;High School
1379;M;40;1.73;Elementary
1380;F;58;1.66;Elementary
1381;M;35;1.98;PhD
1382;F;56;1.8;High School
1383;M;45;1.76;PhD
1384;M;49;1.57;PhD
1385;F;72;1.51;Master's
1386;F;69;1.92;PhD
1387;M;36;1.71;High School
1388;M;40;1.52;Master's
1389;M;74;1.97;Master's
1390;F;21;1.85;Master's
1391;F;19;1.79;Bachelor's
1392;F;27;1.95;High School
1393;F;59;1.85;Elementary
1394;F;45;1.98;None
1395;F;70;1.6;None
1396;F;48;1.84;Elementary
1397;F;55;1.51;High School
1398;F;68;1.86;Elementary
1399;F;41;1.94;Master's
1400;M;41;1.69;PhD
1401;M;69;1.53;Bachelor's
1402;M;56;1.99;High School
1403;F;45;1.48;None
1404;M;34;2.01;Elementary
1405;F;62;1.82;PhD
1406;F;61;1.94;Elementary
1407;M;36;1.75;Master's
1408;F;68;1.56;Bachelor's
1409;F;36;1.64;Elementary
1410;F;72;1.89;None
1411;F;21;2.01;High School
1412;M;28;1.61;None
1413;F;74;1.64;Elementary
1414;F;31;1.58;Bachelor's
1415;M;21;1.69;Master's
1416;F;31;1.77;Elementary
1417;F;55;1.51;PhD
1418;F;40;1.7;Master's
1419;F;60;1.65;Elementary
1420;M;39;1.89;PhD
1421;F;61;1.68;PhD
1422;M;65;1.68;Master's
1423;F;20;1.84;None
1424;F;49;1.68;Elementary
1425;F;45;1.66;Master's
1426;F;33;1.51;PhD
1427;F;55;1.73;Elementary
1428;M;25;1.53;High School
1429;F;70;1.8;Bachelor's
1430;M;50;1.86;None
1431;M;19;1.47;PhD
1432;F;45;1.53;PhD
1433;M;33;1.63;PhD
1434;F;75;1.9;PhD
1435;F;35;1.46;None
1436;F;76;1.67;PhD
1437;F;43;1.91;PhD
1438;M;62;1.89;High School
1439;F;46;1.57;Master's
1440;M;66;1.73;PhD
1441;M;64;1.62;High School
1442;M;24;1.65;High School
1443;F;31;1.84;Bachelor's
1444;F;58;1.93;None
1445;M;70;1.98;High School
1446;M;74;1.88;PhD
1447;F;41;1.51;High School
1448;M;58;1.81;High School
1449;F;27;1.56;Elementary
1450;F;49;1.54;None
1451;M;37;1.78;Master's
1452;F;57;1.68;Bachelor's
1453;M;51;1.77;PhD
1454;M;44;1.84;Bachelor's
1455;M;56;1.99;Master's
1456;F;35;1.97;PhD
1457;M;41;1.9;PhD
1458;F;74;1.86;None
1459;F;46;1.87;Master's
1460;F;54;1.63;Elementary
1461;M;46;1.51;Elementary
1462;F;66;1.9;PhD
1463;M;20;1.56;Bachelor's
1464;M;66;1.81;Elementary
1465;M;22;1.69;Bachelor's
1466;M;65;1.77;Elementary
1467;M;59;1.49;Elementary
1468;M;68;1.82;Master's
1469;M;76;1.75;None
1470;F;68;1.55;Elementary
1471;F;63;1.73;None
1472;F;42;1.57;PhD
1473;M;31;1.73;Master's
1474;F;71;1.96;PhD
1475;F;31;1.96;Elementary
1476;F;34;1.71;PhD
1477;F;75;2.01;PhD
1478;M;58;1.64;None
1479;F;42;1.58;None
1480;M;39;1.6;High School
1481;M;60;1.59;PhD
1482;M;30;1.54;Bachelor's
1483;M;28;1.83;PhD
1484;M;73;1.89;None
1485;M;69;1.99;PhD
1486;F;56;1.85;None
1487;M;71;1.55;PhD
1488;F;24;1.85;None
1489;F;22;1.51;High School
1490;F;53;1.69;Bachelor's
1491;F;38;1.8;High School
1492;F;19;1.98;Master's
1493;F;25;1.52;Master's
1494;F;31;1.97;PhD
1495;M;43;1.67;Bachelor's
1496;F;51;1.79;PhD
1497;M;25;1.93;High School
1498;M;29;1.98;Bachelor's
1499;F;26;1.48;High School
1500;M;44;1.5;Elementary
1501;F;48;1.48;Bachelor's
1502;M;62;1.9;None
1503;F;24;1.54;High School
1504;F;51;1.89;High School
1505;M;22;1.87;Master's
1506;F;41;1.5;Bachelor's
1507;F;47;1.58;Master's
1508;F;44;1.53;High School
1509;F;41;1.51;Elementary
1510;F;46;1.86;Bachelor's
1511;M;67;1.46;PhD
1512;F;66;1.86;None
1513;M;60;1.81;None
1514;F;68;1.81;PhD
1515;F;31;1.56;None
1516;F;33;1.58;Master's
1517;M;54;1.78;High School
1518;F;75;1.56;None
1519;F;31;1.87;PhD
1520;F;66;1.87;None
1521;F;50;1.61;Bachelor's
1522;M;25;1.93;High School
1523;F;59;1.68;High School
1524;F;42;1.85;PhD
1525;M;60;1.76;Elementary
1526;M;51;1.76;Bachelor's
1527;F;54;1.46;None
1528;F;33;1.86;Elementary
1529;M;70;1.94;Bachelor's
1530;F;63;1.87;Elementary
1531;M;50;2.01;Master's
1532;M;42;1.85;Bachelor's
1533;M;64;1.85;None
1534;F;33;1.85;Master's
1535;F;70;1.84;PhD
1536;F;44;1.93;PhD
1537;F;74;1.83;Bachelor's
1538;M;72;1.71;Elementary
1539;M;26;1.7;Elementary
1540;F;50;1.85;Elementary
1541;M;42;1.78;Bachelor's
1542;F;26;2.01;None
1543;M;62;1.82;Elementary
1544;F;40;1.96;None
1545;M;23;1.97;Elementary
1546;F;18;1.94;Elementary
1547;M;25;1.82;High School
1548;M;55;1.55;Master's
1549;M;25;1.92;High School
1550;F;57;1.55;Master's
1551;M;54;1.74;Master's
1552;M;36;1.99;High School
1553;F;38;1.67;Bachelor's
1554;F;70;1.88;High School
1555;F;29;1.76;High School
1556;F;71;1.56;None
1557;M;64;1.64;Elementary
1558;M;51;1.55;Master's
1559;M;29;1.76;Elementary
1560;M;31;1.97;Elementary
1561;F;59;1.84;Master's
1562;F;63;1.83;Elementary
1563;F;59;1.88;High School
1564;F;27;1.74;Elementary
1565;M;61;1.75;Elementary
1566;F;57;1.96;Bachelor's
1567;F;32;1.63;Master's
1568;M;54;1.56;Elementary
1569;F;30;1.92;High School
1570;F;54;1.52;None
1571;M;52;1.88;High School
1572;F;28;1.9;None
1573;M;54;1.51;Master's
1574;F;61;1.61;PhD
1575;M;29;1.48;None
1576;M;76;1.66;None
1577;M;65;1.62;Elementary
1578;F;68;1.79;None
1579;F;63;1.47;Master's
1580;F;72;1.79;Master's
1581;M;72;1.56;Master's
1582;M;23;1.73;Master's
1583;F;68;1.66;High School
1584;F;63;1.54;None
1585;F;53;1.46;Bachelor's
1586;F;28;1.69;PhD
1587;F;38;1.96;Elementary
1588;F;46;1.96;High School
1589;F;57;1.62;Elementary
1590;M;65;1.59;PhD
1591;M;53;1.76;Elementary
1592;M;23;1.76;PhD
1593;F;64;1.85;High School
1594;M;47;1.83;High School
1595;M;20;1.47;Master's
1596;F;63;1.64;Master's
1597;M;23;1.8;Bachelor's
1598;F;27;1.77;Master's
1599;F;73;1.47;PhD
1600;F;52;1.98;Bachelor's
1601;M;35;1.98;None
1602;F;19;1.95;Bachelor's
1603;M;63;1.68;High School
1604;M;71;1.78;High School
1605;M;40;1.77;PhD
1606;F;58;1.53;Bachelor's
1607;M;35;1.51;Master's
1608;F;58;1.75;None
1609;F;69;1.73;Bachelor's
1610;F;66;1.9;Master's
1611;F;70;1.5;None
1612;F;76;1.87;High School
1613;F;45;1.91;Master's
1614;M;63;1.66;Elementary
1615;M;72;1.71;Master's
1616;F;41;1.66;High School
1617;F;51;1.57;Master's
1618;F;33;1.97;Bachelor's
1619;M;23;1.67;PhD
1620;M;58;1.88;None
1621;F;65;1.82;Elementary
1622;F;68;1.88;PhD
1623;M;75;1.87;Master's
1624;M;76;1.51;PhD
1625;F;72;1.82;Bachelor's
1626;M;23;1.83;PhD
1627;F;66;1.78;Master's
1628;M;39;1.76;Master's
1629;M;25;1.76;None
1630;F;42;1.82;High School
1631;F;69;1.89;Bachelor's
1632;F;49;1.74;PhD
1633;M;37;1.73;Elementary
1634;F;68;1.65;Master's
1635;F;32;1.58;Bachelor's
1636;M;25;1.73;Elementary
1637;F;42;1.98;High School
1638;F;19;1.81;Elementary
1639;F;40;1.58;Master's
1640;F;55;1.92;Bachelor's
1641;F;20;1.97;Elementary
1642;M;76;1.5;Master's
1643;F;73;1.52;Bachelor's
1644;F;37;1.95;Bachelor's
1645;M;39;2;None
1646;M;62;1.95;PhD
1647;F;22;1.74;None
1648;M;29;1.88;None
1649;M;54;2;High School
1650;F;25;1.72;Elementary
1651;F;40;1.53;Master's
1652;F;33;1.79;PhD
1653;F;52;1.76;Bachelor's
1654;M;58;1.84;Elementary
1655;F;44;1.84;Master's
1656;F;29;1.82;High School
1657;F;48;2;High School
1658;F;72;1.85;PhD
1659;F;33;1.49;Bachelor's
1660;F;27;1.57;Elementary
1661;F;19;1.84;Bachelor's
1662;M;34;1.5;High School
1663;M;67;1.54;None
1664;F;28;1.92;None
1665;F;54;1.55;Master's
1666;F;52;1.83;Master's
1667;M;45;1.62;Master's
1668;F;47;1.65;PhD
1669;M;64;1.86;Bachelor's
1670;M;58;1.95;Master's
1671;F;18;1.88;Bachelor's
1672;F;55;1.46;High School
1673;M;21;1.56;Elementary
1674;F;36;1.74;Master's
1675;F;47;1.59;Bachelor's
1676;M;65;1.58;None
1677;F;61;1.54;PhD
1678;M;34;1.73;Elementary
1679;M;31;1.91;Master's
1680;F;63;1.46;Master's
1681;M;21;1.86;Master's
1682;M;45;1.75;None
1683;F;65;1.93;Master's
1684;F;59;1.88;High School
1685;M;34;1.92;Elementary
1686;F;57;1.6;Master's
1687;M;66;1.56;Master's
1688;M;37;1.5;None
1689;F;71;1.9;PhD
1690;M;40;1.81;Bachelor's
1691;M;24;1.95;Master's
1692;M;68;1.53;Master's
1693;F;23;1.92;Bachelor's
1694;F;62;1.51;PhD
1695;F;74;1.9;High School
1696;F;67;1.79;High School
1697;M;41;2;Bachelor's
1698;M;74;1.99;Bachelor's
1699;M;55;2.01;High School
1700;F;48;1.6;Elementary
1701;F;56;1.67;Master's
1702;F;64;1.66;Elementary
1703;M;60;1.61;Elementary
1704;F;18;1.68;High School
1705;M;22;1.81;Elementary
1706;F;67;1.76;High School
1707;M;45;1.47;Master's
1708;F;34;1.59;Master's
1709;M;64;1.83;Master's
1710;F;46;1.51;High School
1711;M;43;1.65;PhD
1712;M;37;1.95;Bachelor's
1713;M;38;2.01;Bachelor's
1714;M;18;1.75;Elementary
1715;M;51;1.67;Elementary
1716;M;63;1.55;Master's
1717;F;40;1.64;Elementary
1718;F;22;1.95;None
1719;M;28;1.93;Bachelor's
1720;F;53;1.72;Elementary
1721;M;71;1.67;Bachelor's
1722;M;21;1.78;Bachelor's
1723;M;41;1.85;PhD
1724;M;40;1.7;Master's
1725;F;40;1.62;High School
1726;M;60;1.59;Elementary
1727;F;27;1.9;Bachelor's
1728;F;51;1.87;PhD
1729;F;32;1.97;Bachelor's
1730;F;41;1.95;PhD
1731;M;75;1.94;PhD
1732;F;18;1.7;PhD
1733;M;46;1.69;Elementary
1734;F;64;1.54;High School
1735;F;27;1.71;PhD
1736;M;49;1.52;PhD
1737;F;48;1.61;None
1738;M;53;1.85;Elementary
1739;M;60;1.81;None
1740;F;47;1.72;Elementary
1741;F;60;1.68;Master's
1742;F;45;1.5;PhD
1743;M;68;1.57;PhD
1744;F;73;1.47;PhD
1745;M;69;1.83;Master's
1746;M;45;1.93;None
1747;F;39;1.73;High School
1748;M;67;1.74;PhD
1749;M;69;1.92;Master's
1750;F;66;1.73;None
1751;M;63;1.74;High School
1752;F;39;1.72;None
1753;F;66;1.48;Bachelor's
1754;F;35;1.54;None
1755;M;37;1.46;Elementary
1756;M;33;1.56;PhD
1757;M;22;1.79;PhD
1758;M;18;1.82;None
1759;M;26;1.53;Master's
1760;F;44;1.5;High School
1761;M;19;1.88;Master's
1762;F;28;1.47;Bachelor's
1763;M;71;1.47;High School
1764;F;31;1.78;PhD
1765;M;18;1.47;None
1766;F;25;1.77;High School
1767;M;61;1.56;Bachelor's
1768;F;30;1.46;PhD
1769;F;62;1.77;Elementary
1770;M;32;1.46;Bachelor's
1771;F;55;1.88;PhD
1772;F;61;1.68;None
1773;M;50;1.46;High School
1774;M;38;1.73;Bachelor's
1775;F;29;1.54;Bachelor's
1776;M;65;1.77;None
1777;F;35;1.85;Elementary
1778;F;48;1.69;Elementary
1779;M;66;1.53;Bachelor's
1780;F;68;1.7;High School
1781;M;42;1.61;Elementary
1782;M;47;1.99;High School
1783;F;24;1.8;Bachelor's
1784;M;38;1.57;Master's
1785;F;20;1.91;Bachelor's
1786;F;35;1.91;None
1787;F;44;1.69;PhD
1788;M;37;1.95;High School
1789;M;57;1.51;Elementary
1790;F;18;1.69;None
1791;M;23;1.46;Bachelor's
1792;F;60;1.63;Bachelor's
1793;M;73;1.89;None
1794;F;61;1.84;Master's
1795;F;22;1.91;None
1796;M;46;1.62;PhD
1797;F;68;1.78;Master's
1798;F;27;1.92;High School
1799;M;42;1.96;Bachelor's
1800;M;48;2;PhD
1801;F;64;1.98;PhD
1802;M;31;1.92;Bachelor's
1803;F;76;1.8;PhD
1804;M;55;1.61;Bachelor's
1805;M;57;1.8;High School
1806;M;76;1.61;Master's
1807;M;37;1.84;PhD
1808;M;47;1.93;None
1809;M;42;2;PhD
1810;F;40;1.53;Master's
1811;F;69;1.74;High School
1812;F;56;1.51;PhD
1813;F;57;1.57;Bachelor's
1814;F;63;1.56;Bachelor's
1815;F;31;1.52;High School
1816;F;41;1.76;Master's
1817;M;61;1.68;Elementary
1818;M;24;1.83;Elementary
1819;M;31;1.92;Elementary
1820;M;71;1.71;Bachelor's
1821;F;19;1.76;Elementary
1822;M;21;1.65;Bachelor's
1823;F;24;1.78;High School
1824;M;68;1.56;Elementary
1825;M;72;1.54;Elementary
1826;M;67;1.5;PhD
1827;F;69;1.72;High School
1828;M;72;1.83;Master's
1829;F;60;1.8;Elementary
1830;M;64;1.53;PhD
1831;M;33;1.9;Master's
1832;M;22;1.84;Bachelor's
1833;M;34;1.77;None
1834;M;20;1.56;PhD
1835;F;29;1.55;Elementary
1836;F;54;1.48;High School
1837;F;38;1.51;Bachelor's
1838;M;27;1.88;PhD
1839;F;48;1.62;Master's
1840;F;29;1.5;Master's
1841;M;61;1.67;High School
1842;F;43;1.52;Elementary
1843;M;18;1.52;Master's
1844;F;50;1.77;Bachelor's
1845;M;56;1.49;PhD
1846;M;25;1.57;Master's
1847;F;53;1.87;Elementary
1848;F;59;1.73;Master's
1849;F;56;1.68;Bachelor's
1850;F;52;1.76;High School
1851;F;38;1.9;Master's
1852;F;56;1.82;Master's
1853;M;49;1.96;PhD
1854;M;28;1.55;Elementary
1855;M;26;1.72;Elementary
1856;F;58;1.94;PhD
1857;M;31;1.78;PhD
1858;M;35;1.8;None
1859;F;18;1.78;Elementary
1860;M;28;1.71;Bachelor's
1861;M;32;1.97;Master's
1862;F;26;1.72;Elementary
1863;M;73;1.75;PhD
1864;F;73;1.64;Elementary
1865;M;22;1.68;PhD
1866;F;54;1.88;Bachelor's
1867;M;64;1.95;Elementary
1868;M;56;1.86;None
1869;M;21;1.64;None
1870;M;74;1.76;Elementary
1871;F;38;1.84;None
1872;M;39;1.6;None
1873;M;43;1.55;Elementary
1874;M;34;1.49;Master's
1875;M;32;1.75;Master's
1876;M;48;1.71;Elementary
1877;F;46;1.6;Bachelor's
1878;M;52;1.69;PhD
1879;M;47;1.96;Master's
1880;M;27;1.46;Master's
1881;F;44;1.94;Bachelor's
1882;F;67;2;None
1883;M;40;1.8;PhD
1884;F;55;1.57;PhD
1885;M;59;1.6;High School
1886;M;72;1.92;None
1887;F;53;1.7;High School
1888;M;27;1.79;Bachelor's
1889;F;60;1.92;None
1890;M;50;1.48;Master's
1891;M;20;1.88;None
1892;M;35;1.52;None
1893;F;42;1.59;None
1894;F;25;1.49;Bachelor's
1895;F;70;1.71;Master's
1896;M;61;1.62;Bachelor's
1897;F;68;1.51;PhD
1898;F;32;1.68;Master's
1899;M;29;1.5;Bachelor's
1900;F;27;1.94;Elementary
1901;M;76;1.87;High School
1902;F;20;1.63;Master's
1903;M;19;1.6;High School
1904;F;33;1.53;PhD
1905;M;39;1.93;Elementary
1906;F;18;1.87;Master's
1907;M;50;1.6;Elementary
1908;F;43;1.69;None
1909;M;25;1.82;Master's
1910;F;57;1.62;High School
1911;M;66;1.56;Elementary
1912;M;67;1.82;Elementary
1913;F;44;1.77;None
1914;F;29;1.68;High School
